name,price,location,station,area,plan,balcony,build,regist,hashdata,kanrihi,shuuzen,kaisu,soukosu
コスモ大島,3490万円,東京都江東区北砂６-19-11,都営新宿線「大島」歩8分,61.79m,3LDK,バルコニー面積：5.77m,1986年9月,2023/01/04 18:42,d4e6ed0b39e5af3b3339d0eb7cb29973f50d2a6cae1c763fbae6aae7d4b04e5f,1万4605円／月（委託(通勤)）,1万1120円／月,1階,-
ルーブルかな杉,3498万円,東京都台東区竜泉１-27－6,東京メトロ日比谷線「入谷」歩5分,51.3m,2LDK,バルコニー面積：4.86m,1982年3月,2023/01/04 18:42,238b91dec79c153fe344c4f39f6c6c397edc3c2801b66925727f144c82e60389,1万2410円／月（委託(巡回)）,1万9010円／月,3階,36戸
東建金町マンション,2599万円,東京都葛飾区金町１,ＪＲ常磐線「金町」歩13分,56.65m,3LDK,バルコニー面積：7.15m,1976年6月,2023/01/04 18:42,82351dbcebdc4bffd426577b96e5418934e2136a6b067139541f9229dac6943d,1万530円／月（委託(通勤)）,4770円／月,4階,394戸
竹ノ塚パーク・ホームズ,3180万円,東京都足立区伊興１,東武伊勢崎線「竹ノ塚」歩13分,69.09m,3LDK,バルコニー面積：8.92m,1991年3月,2023/01/04 18:42,168179c34fe3dea0a2f19185b5722c64d0bf6344859077411afc20c3306cc501,1万3500円／月（委託(通勤)）,1万2800円／月,2階,90戸
アドリーム梅島,3337万円,東京都足立区島根１,東武伊勢崎線「梅島」歩12分,60.77m,3LDK,バルコニー面積：8.97m,1995年1月,2023/01/04 18:42,e10cdfcc1f0224e6936e350652d1b771a6161865c70e36bf5e994c1a8a97193b,1万2600円／月（委託(通勤)）,1万1010円／月,5階,44戸
蓮根ファミールハイツ,2490万円,東京都板橋区坂下３-20-1,都営三田線「蓮根」歩8分,66m,4LDK,バルコニー面積：7.89m,1977年2月,2023/01/04 18:43,e36bef6dd54cd549974c1b6f711981e5cd8d9501ee50d5ff06cbd047f23f95ee,7130円／月（委託(通勤)）,1万6200円／月,2階,186戸
サンハイム竹の塚,2580万円,東京都足立区六月３,東武伊勢崎線「竹ノ塚」歩12分,64.9m,2LDK,バルコニー面積：6.75m,1983年7月,2023/01/04 18:43,0e6b40f6523965d55b9a542948c5256175b3a6e39f575a8e1c29b8fbb9a01c0f,9990円／月（委託(通勤)）,1万6160円／月,5階,54戸
いづみハイツ柴又,2599万円,東京都葛飾区柴又１,京成本線「京成高砂」歩9分,51.84m,3LDK,バルコニー面積：8.1m,1984年12月,2023/01/04 18:43,cb77a8e6a5ba000e2ed6fd8f681118d6eda09cd570faca8a10371da42d3c7875,7465円／月（委託(通勤)）,1万8171円／月,2階,72戸
井荻ローヤルコーポ,2599万円,東京都練馬区南田中４,西武新宿線「井荻」歩10分,50.82m,3K,バルコニー面積：12.54m,1979年2月,2023/01/04 18:43,2564e7e40322bd58446af16eadeee30268f6c27d69f1fb5f9f3c08482f3050a5,5000円／月（委託(巡回)）,1万円／月,5階,35戸
東武大師前サンライトマンション3号館,2690万円,東京都足立区栗原３-１０－１９,東武大師線「大師前」歩3分,57.75m,1LDK,バルコニー面積：6.6m,1978年12月,2023/01/04 18:43,9d19c334ea023e772b5c43e7c6c84d91ab099c41a8a448e4af0ec3c678cb7e7f,9559円／月（委託(通勤)）,9000円／月,11階,220戸
東武大師前サンライトマンション３号館,2690万円,東京都足立区栗原３,東武大師線「大師前」歩3分,57.75m,1LDK,バルコニー面積：6.6m,1978年12月,2023/01/04 18:43,50c5b912e25b5e5a3bfd449db3e5dd7854efe3deb1bd2f1ad37ee48526245ecc,9559円／月（委託(通勤)）,9000円／月,11階,220戸
青戸第二ローヤルコーポ,2699万円,東京都葛飾区青戸６,京成本線「青砥」歩10分,57.16m,2LDK,バルコニー面積：8.25m,1980年6月,2023/01/04 18:43,32ab91c8978f2c9ea3331b8ddf584e72aa8b2acfe86a056a8cbeda2ba0da6b19,6900円／月（委託(通勤)）,1万7670円／月,1階,-
サンハイム竹の塚,2780万円,東京都足立区六月３,東武伊勢崎線「竹ノ塚」歩12分,61.56m,3LDK,バルコニー面積：11.43m,1983年7月,2023/01/04 18:44,58d3cfcb86f86a7da8bb7b12560b8f40d733e2d34ecfb3667503ba3388c1dd82,9480円／月（委託(通勤)）,1万5320円／月,5階,54戸
高島平第三住宅６号棟,2798万円,東京都板橋区高島平３-11-6,都営三田線「高島平」歩5分,64.35m,3LDK,バルコニー面積：9.44m,1972年7月,2023/01/04 18:44,2eb67459fcb8b7c8901a4dbc8e4247adcdb5e26d62ccac38371a5377c6826f50,8000円／月（委託(通勤)）,1万円／月,1階,87戸
高島平第三住宅６号棟,2798万円,東京都板橋区高島平３,都営三田線「新高島平」歩9分,64.35m,3LDK,バルコニー面積：9.44m,1972年7月,2023/01/04 18:44,2eb67459fcb8b7c8901a4dbc8e4247adcdb5e26d62ccac38371a5377c6826f50,8000円／月（委託(通勤)）,1万円／月,1階,676戸
ＧＳハイムときわ台,2880万円,東京都板橋区前野町２-38-9,東武東上線「ときわ台」歩12分,60.11m,2LDK,バルコニー面積：60.11m,1985年11月,2023/01/04 18:44,73673147cb54be276db7f59f4eca3e8c50210a07ce8e9f280383926685ecdb7e,1万1791円／月（委託(巡回)）,9010円／月,1階,57戸
